Date,Description,Deposits,Withdrawls,Balance
20-Aug-20,Cash,"97,540.00",0,"170,542.01"
20-Aug-20,Commission,0,"34,108.40","136,433.61"
20-Aug-20,ATM,41,0,"136,474.61"
20-Aug-20,Interest,50,0,"136,524.61"
20-Aug-20,Commission,0,"34,131.15","102,393.46"
20-Aug-20,Reversal,0,"17,065.58","85,327.88"
20-Aug-20,Reversal,"204,765.00",0,"290,092.88"
20-Aug-20,Cheque,"53,121.00",0,"343,213.88"
20-Aug-20,NEFT,7.1,0,"343,220.98"
20-Aug-20,IMPS,3.46,0,"343,224.44"
20-Aug-20,Transfer,3,0,"343,227.44"
20-Aug-20,RTGS,"223,558.62",0,"566,786.06"
20-Aug-20,ATM,"496,536.75",0,"1,063,322.81"
20-Aug-20,Reversal,"770,726.00",0,"1,834,048.81"
20-Aug-20,Interest,0,"1,834,048.81",0
20-Aug-20,Bill,0.01,0,0.01
20-Aug-20,Commission,"18,690.68",0,"18,690.69"
20-Aug-20,Cash,0,"1,869.07","16,821.62"
20-Aug-20,Cheque,190,0,"17,011.62"
20-Aug-20,Tax,55,0,"17,066.62"
20-Aug-20,ATM,0,"1,896.29","15,170.33"
20-Aug-20,Transfer,0,"3,034.07","12,136.26"
20-Aug-20,ATM,26.6,0,"12,162.86"
20-Aug-20,ATM,0,"6,081.43","6,081.43"
20-Aug-20,NEFT,"1,986,737.80",0,"1,992,819.23"
20-Aug-20,Reversal,0,"664,273.08","1,328,546.15"
20-Aug-20,Cash,3.81,0,"1,328,549.96"
20-Aug-20,RTGS,"1,474.00",0,"1,330,023.96"
20-Aug-20,Interest,0,"147,780.44","1,182,243.52"
20-Aug-20,Bill,0,"168,891.93","1,013,351.59"
20-Aug-20,Transfer,191,0,"1,013,542.59"
20-Aug-20,Interest,"22,709.69",0,"1,036,252.28"
20-Aug-20,ATM,44,0,"1,036,296.28"
20-Aug-20,Interest,54.05,0,"1,036,350.33"
20-Aug-20,IMPS,178,0,"1,036,528.33"
20-Aug-20,ATM,0,"518,264.17","518,264.16"
20-Aug-20,Miscellaneous,0,"103,652.83","414,611.33"
20-Aug-20,Cash,16,0,"414,627.33"
20-Aug-20,Transfer,0,"46,069.70","368,557.63"
20-Aug-20,Debit Card,0,"184,278.82","184,278.82"
20-Aug-20,NEFT,0,"30,713.14","153,565.68"
21-Aug-20,Cash,"14,418.10",0,"167,983.78"
21-Aug-20,RTGS,0,"33,596.76","134,387.02"
21-Aug-20,Purchase,0,"44,795.67","89,591.35"
21-Aug-20,Debit Card,492.86,0,"90,084.21"
21-Aug-20,ATM,0,"90,084.21",0
21-Aug-20,RTGS,8,0,8
21-Aug-20,Bill,"7,099.00",0,"7,107.00"
21-Aug-20,Purchase,2.6,0,"7,109.60"
21-Aug-20,NEFT,772.4,0,"7,882.00"
21-Aug-20,Bill,"1,335,369.25",0,"1,343,251.25"
21-Aug-20,NEFT,"31,237.00",0,"1,374,488.25"
21-Aug-20,Transfer,0,"137,448.83","1,237,039.42"
21-Aug-20,IMPS,0,"412,346.47","824,692.95"
21-Aug-20,Commission,0,"412,346.48","412,346.48"
21-Aug-20,Bill,0,"51,543.31","360,803.17"
22-Aug-20,NEFT,0,"90,200.79","270,602.38"
22-Aug-20,NEFT,6.6,0,"270,608.98"
22-Aug-20,Reversal,0,"45,101.50","225,507.48"
22-Aug-20,RTGS,"217,183.10",0,"442,690.58"
22-Aug-20,RTGS,0,"221,345.29","221,345.29"
22-Aug-20,Debit Card,"17,021.00",0,"238,366.29"
22-Aug-20,Commission,"128,690.25",0,"367,056.54"
22-Aug-20,Reversal,"3,749.10",0,"370,805.64"
22-Aug-20,Miscellaneous,"2,585.20",0,"373,390.84"
22-Aug-20,NEFT,"1,339.00",0,"374,729.84"
22-Aug-20,Purchase,0,"93,682.46","281,047.38"
22-Aug-20,Bill,335.7,0,"281,383.08"
22-Aug-20,Bill,0,"35,172.89","246,210.20"
22-Aug-20,NEFT,0,"24,621.02","221,589.18"
22-Aug-20,NEFT,0,"36,931.53","184,657.65"
22-Aug-20,RTGS,0,"92,328.83","92,328.82"
22-Aug-20,IMPS,"39,082.70",0,"131,411.52"
22-Aug-20,Interest,16.48,0,"131,428.00"
22-Aug-20,ATM,0,"18,775.43","112,652.57"
22-Aug-20,Debit Card,"1,001,957.00",0,"1,114,609.57"
22-Aug-20,Commission,0,"1,114,609.57",0
22-Aug-20,Interest,"229,611.00",0,"229,611.00"
22-Aug-20,Purchase,"21,743.97",0,"251,354.97"
22-Aug-20,Purchase,0,"125,677.49","125,677.48"
22-Aug-20,Purchase,272,0,"125,949.48"
22-Aug-20,Debit Card,306,0,"126,255.48"
22-Aug-20,Tax,0,"42,085.16","84,170.32"
22-Aug-20,Cheque,"2,408.00",0,"86,578.32"
22-Aug-20,Interest,36.68,0,"86,615.00"
22-Aug-20,Purchase,59.51,0,"86,674.51"
22-Aug-20,Transfer,58.49,0,"86,733.00"
22-Aug-20,Bill,"24,976.60",0,"111,709.60"
22-Aug-20,Tax,27,0,"111,736.60"
22-Aug-20,NEFT,0,"18,622.77","93,113.83"
22-Aug-20,Transfer,6,0,"93,119.83"
22-Aug-20,RTGS,4,0,"93,123.83"
22-Aug-20,NEFT,0,"46,561.92","46,561.92"
22-Aug-20,ATM,"3,925.00",0,"50,486.92"
22-Aug-20,IMPS,7.2,0,"50,494.12"
22-Aug-20,IMPS,0,"16,831.37","33,662.75"
22-Aug-20,IMPS,"74,284.97",0,"107,947.72"
22-Aug-20,ATM,0,"15,421.10","92,526.62"
22-Aug-20,Bill,0,"18,505.32","74,021.30"
22-Aug-20,Bill,6,0,"74,027.30"
22-Aug-20,Purchase,0,"7,402.73","66,624.57"
22-Aug-20,Cash,0,"66,624.57",0
22-Aug-20,Purchase,"16,267.00",0,"16,267.00"
22-Aug-20,Commission,0,"1,626.70","14,640.30"
22-Aug-20,NEFT,0,"1,626.70","13,013.60"
22-Aug-20,ATM,"2,599.60",0,"15,613.20"
22-Aug-20,Miscellaneous,"3,420.20",0,"19,033.40"
22-Aug-20,Debit Card,0,"4,758.35","14,275.05"
22-Aug-20,Reversal,0,"4,758.35","9,516.70"
22-Aug-20,Cheque,0,"1,359.53","8,157.17"
22-Aug-20,Commission,0,906.35,"7,250.82"
22-Aug-20,Debit Card,0,"1,450.16","5,800.66"
22-Aug-20,Purchase,0,580.07,"5,220.59"
22-Aug-20,Interest,0,"1,044.12","4,176.47"
22-Aug-20,Miscellaneous,0,"4,176.47",0
22-Aug-20,Miscellaneous,"16,915.80",0,"16,915.80"
22-Aug-20,Cheque,0,"2,819.30","14,096.50"
22-Aug-20,IMPS,0,"7,048.25","7,048.25"
23-Aug-20,Purchase,"1,432.00",0,"8,480.25"
23-Aug-20,Miscellaneous,0,848.03,"7,632.22"
23-Aug-20,IMPS,"1,807,354.00",0,"1,814,986.22"
23-Aug-20,Interest,0,"604,995.41","1,209,990.81"
23-Aug-20,Bill,0,"120,999.08","1,088,991.73"
23-Aug-20,Debit Card,1.7,0,"1,088,993.43"
23-Aug-20,Reversal,0,"155,570.49","933,422.94"
23-Aug-20,Bill,0,"133,346.13","800,076.81"
23-Aug-20,Cash,0,"114,296.69","685,780.12"
23-Aug-20,Commission,0,"171,445.03","514,335.09"
23-Aug-20,ATM,28,0,"514,363.09"
23-Aug-20,ATM,0,"73,480.44","440,882.65"
23-Aug-20,NEFT,"72,005.25",0,"512,887.90"
23-Aug-20,Transfer,1.6,0,"512,889.50"
23-Aug-20,RTGS,0,"56,987.72","455,901.78"
23-Aug-20,Purchase,80.79,0,"455,982.57"
23-Aug-20,RTGS,0,"75,997.10","379,985.48"
23-Aug-20,Reversal,"5,277.66",0,"385,263.14"
23-Aug-20,Reversal,0,"128,421.05","256,842.09"
23-Aug-20,Cash,0,"64,210.52","192,631.57"
23-Aug-20,RTGS,0,"27,518.80","165,112.77"
23-Aug-20,ATM,271,0,"165,383.77"
23-Aug-20,ATM,0,"55,127.92","110,255.85"
23-Aug-20,Cheque,0,"11,025.59","99,230.26"
23-Aug-20,Reversal,"10,196.72",0,"109,426.98"
23-Aug-20,ATM,0,"109,426.98",0
23-Aug-20,Cash,"1,078.50",0,"1,078.50"
23-Aug-20,Reversal,0,359.5,719
23-Aug-20,Debit Card,0,102.71,616.29
23-Aug-20,Bill,"16,011.00",0,"16,627.29"
23-Aug-20,Commission,0,"3,325.46","13,301.83"
23-Aug-20,Cash,0,"1,477.98","11,823.85"
23-Aug-20,Cheque,0,"3,941.28","7,882.57"
23-Aug-20,Cash,"3,960.92",0,"11,843.49"
23-Aug-20,Transfer,0,"2,368.70","9,474.79"
23-Aug-20,Cash,0,"1,353.54","8,121.25"
23-Aug-20,NEFT,0,812.13,"7,309.12"
23-Aug-20,NEFT,0,"1,044.16","6,264.96"
23-Aug-20,Cheque,0,"1,252.99","5,011.97"
23-Aug-20,Miscellaneous,0,"1,002.39","4,009.58"
23-Aug-20,Interest,1,0,"4,010.58"
23-Aug-20,Debit Card,"8,729.50",0,"12,740.08"
23-Aug-20,ATM,0,"6,370.04","6,370.04"
23-Aug-20,Cheque,0,"6,370.04",0
23-Aug-20,NEFT,54.77,0,54.77
23-Aug-20,Bill,0,6.85,47.92
23-Aug-20,ATM,0,23.96,23.96
23-Aug-20,NEFT,"252,961.10",0,"252,985.06"
23-Aug-20,Reversal,0,"50,597.01","202,388.05"
23-Aug-20,Cash,"2,795.10",0,"205,183.15"
23-Aug-20,Commission,0,"102,591.58","102,591.58"
23-Aug-20,Debit Card,0,"102,591.58",0
23-Aug-20,Bill,"29,662.05",0,"29,662.05"
23-Aug-20,Debit Card,0,"3,295.78","26,366.27"
23-Aug-20,Purchase,55,0,"26,421.27"
23-Aug-20,RTGS,"206,667.80",0,"233,089.07"
23-Aug-20,Bill,"1,658,310.00",0,"1,891,399.07"
23-Aug-20,RTGS,"2,385.10",0,"1,893,784.17"
23-Aug-20,Commission,0,"631,261.39","1,262,522.78"
23-Aug-20,Debit Card,6.4,0,"1,262,529.18"
23-Aug-20,Debit Card,0,"140,281.02","1,122,248.16"
23-Aug-20,Commission,0,"374,082.72","748,165.44"
23-Aug-20,Tax,0,"249,388.48","498,776.96"
23-Aug-20,Purchase,4,0,"498,780.96"
23-Aug-20,RTGS,176.89,0,"498,957.85"
